NOMBRE,MARCA,SKU,CATEGORIA,SUBCATEGORIA,PROMO,PRECIO_ANTES,PRECIO,TALLAS,CONDICION,DESCRIPCION,FOTOS,DESTACADO,LANZAMIENTO
Dunk SB Parra,Nike,SB-DUNK-06,sneakers,,NO,,1900000,10,nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
Cap 7 1/4 Special Edition,Kith,,streetwear,accesorio,NO,,420000,7 1/4,nuevo,Comisión incluida en el precio.,,NO,NO
Paris GT-2160,Asics,ASICS-07,sneakers,,NO,,600000,"8,8.5,9",nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
Jordan 3 Seúl 2.0,Jordan,AJ3-03,sneakers,,NO,,1400000,"8,8.5,9.5",nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
Yeezy Foam Runner MX Cinder,Adidas,YZY-FOAM-02,sneakers,,NO,,350000,8,usado,Usado con caja. Comisión incluida en el precio.,,NO,NO
Jordan 5 GORE-TEX,Jordan,AJ5-02,sneakers,,NO,,1000000,8.5,usado,Usado con caja. Talla de mujer. Comisión incluida en el precio.,,NO,NO
Salomon XT-6 Pathway White,Salomon,SLMN-03,sneakers,,NO,,950000,8.5,nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
Bear x North Face,Supreme,,streetwear,accesorio,NO,,620000,,nuevo,Nuevo. Rareza muy alta (🔥🔥🔥). Comisión incluida en el precio.,,NO,NO
Vulcanized 2018,Off-White,OFFWHITE-01,sneakers,,NO,,1450000,8.5,usado,Usado con caja. Comisión incluida en el precio.,,NO,NO
Nerf Super Soaker,Supreme,,streetwear,accesorio,NO,,380000,,nuevo,Nuevo con caja. Rareza alta (🔥🔥). Comisión incluida en el precio.,,NO,NO
Rawlings Mask,Supreme,,streetwear,accesorio,NO,,550000,,nuevo,Nuevo con caja. Rareza alta (🔥🔥). Comisión incluida en el precio.,,NO,NO
Jordan 1 Rookie of the Year,Jordan,AJ1-03,sneakers,,NO,,600000,9,usado,Usado con caja. Comisión incluida en el precio.,,NO,NO
Nunobiki White Blue,Asics,ASICS-08,sneakers,,NO,,340000,9.5,nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
New Balance 1906R Green,New Balance,NB-05,sneakers,,NO,,450000,6.5,nuevo,Nuevo con caja. Talla de mujer. Comisión incluida en el precio.,,NO,NO
Kinetic Gel,Asics,ASICS-09,sneakers,,NO,,550000,8,nuevo,Nuevo con caja. Talla de mujer. Comisión incluida en el precio.,,NO,NO
New Balance 1000,New Balance,NB-06,sneakers,,NO,,550000,"8,8.5",nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
Jordan 3 Rio,Jordan,AJ3-04,sneakers,,NO,,800000,7.5,usado,Usado con caja. Comisión incluida en el precio.,,NO,NO
Feid x Ferxxocalipsis,Salomon,SLMN-04,sneakers,,NO,,1400000,7,nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
Air Force 1 Mid Green,Nike,AF1-02,sneakers,,NO,,1200000,9.5,nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
Jordan 4 UNC,Jordan,AJ4-13,sneakers,,NO,,2200000,10,nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
Jordan Spizike,Jordan,AJ-SPZ-01,sneakers,,NO,,550000,10,nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
Asics x Kith Marvel,Asics x Kith,ASICS-10,sneakers,,NO,,720000,8.5,nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
GT-2160 Black,Asics,ASICS-11,sneakers,,NO,,640000,8.5,nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
Gel-DS Trainer x Hidden,Asics x Hidden.NY,ASICS-12,sneakers,,NO,,900000,8.5,nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
Salomon XT-4 Ferxxocalipsis,Salomon,SLMN-05,sneakers,,NO,,1400000,8,nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
New Balance Action Bronson,New Balance,NB-07,sneakers,,NO,,990000,9.5,nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
New Balance Tiger Eye,New Balance,NB-08,sneakers,,NO,,830000,9,nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
New Balance x Kith Daytona,New Balance,NB-09,sneakers,,NO,,1200000,9.5,nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
New Balance Joe Freshgoods,New Balance x Joe Freshgoods,NB-10,sneakers,,NO,,1100000,9.5,nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
New Balance Joe Freshgoods,New Balance x Joe Freshgoods,NB-11,sneakers,,NO,,1200000,9.5,nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
Jordan 1 Voodoo,Jordan,AJ1-04,sneakers,,NO,,2350000,"9.5,9",nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
Dunk Halloween 2021,Nike,DUNK-02,sneakers,,NO,,1250000,7,nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
Dunk SB Setsubun,Nike,SB-DUNK-07,sneakers,,NO,,800000,"7,7.5,8",nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
AF1 Oregón,Nike,AF1-03,sneakers,,NO,,900000,10,nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
Dunk Off-White Lot 12,Nike,DUNK-03,sneakers,,NO,,1350000,10,usado,Usado con caja. Comisión incluida en el precio.,,NO,NO
Dunk SB 75 Aniversario NBA,Nike,SB-DUNK-08,sneakers,,NO,,700000,7,nuevo,Nuevo con caja. Comisión incluida en el precio.,/products/SB-DUNK-08.png,NO,NO
Dunk SB Gulf,Nike,SB-DUNK-09,sneakers,,NO,,900000,8.5,nuevo,Nuevo con caja. Comisión incluida en el precio.,/products/SB-DUNK-09.png,NO,NO
Air Max 90 Día de Muertos,Nike,AM90-01,sneakers,,NO,,5850000,10,nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
Dunk SB Trocadero,Nike,SB-DUNK-10,sneakers,,NO,,1050000,9,nuevo,Nuevo con caja. Comisión incluida en el precio.,/products/SB-DUNK-10.png,NO,NO
Dunk Low Pro,Nike,DUNK-04,sneakers,,NO,,650000,8.5,nuevo,Nuevo con caja. Comisión incluida en el precio.,/products/DUNK-04.png,NO,NO
Mind 002 Grey,Nike,MIND002-01,sneakers,,NO,,850000,"11,9",nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
Mind 002 Black,Nike,MIND002-02,sneakers,,NO,,900000,11,nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
Mind 001 Light Smoke,Nike,MIND001-01,sneakers,,NO,,1050000,9,nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
Mind 001 Black,Nike,MIND001-02,sneakers,,NO,,950000,7,nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
Dunk SB Ocean,Nike,SB-DUNK-11,sneakers,,NO,,1600000,9,nuevo,Nuevo con caja. Comisión incluida en el precio.,/products/SB-DUNK-11.png,NO,NO
AF1 Nocta White Cobalt,Nike,AF1-04,sneakers,,NO,,950000,10,nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
Sabrina 3 x Blueprint,Nike,SABRINA3-01,sneakers,,NO,,550000,"11,9.5",nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
Dunk SB Bubbles,Nike,SB-DUNK-13,sneakers,,NO,,1300000,9,nuevo,Nuevo con caja. Comisión incluida en el precio.,/products/SB-DUNK-13.png,NO,NO
Dunk SB Albino,Nike,SB-DUNK-14,sneakers,,NO,,930000,9.5,nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
Bad Bunny Last Forum,Adidas x Bad Bunny,ADI-BB-07,sneakers,,NO,,1200000,7.5,nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
Bad Bunny Easter Egg,Adidas x Bad Bunny,ADI-BB-08,sneakers,,NO,,2600000,9.5,nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
Yu-Gi-Oh Adidas con carta,Adidas,YUGIOH-01,sneakers,,NO,,1050000,"11,9",nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
Nike Gato x Supreme,Nike,GATO-01,sneakers,,NO,,850000,11,nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
DN8,Nike,DN8-01,sneakers,,NO,,750000,10.5,nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
VK2,Nike,VK2-01,sneakers,,NO,,650000,6W,nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
AF1 Black,Nike,AF1-05,sneakers,,NO,,650000,10,nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
AF1 White,Nike,AF1-06,sneakers,,NO,,650000,10,nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
Bad Bunny Campus,Adidas x Bad Bunny,ADI-BB-11,sneakers,,NO,,1100000,9.5,nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
Air Max Bubble,Nike,AMBUBBLE-01,sneakers,,NO,,950000,8,nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
Vapormax,Nike,VAPORMAX-01,sneakers,,NO,,450000,9.5,nuevo,Nuevo con caja. Comisión incluida en el precio.,,NO,NO
Dunk Pink Foam,Nike,DUNK-05,sneakers,,NO,,1200000,7Y,nuevo,Nuevo con caja. Comisión incluida en el precio.,/products/DUNK-05.png,NO,NO
Dunk SB Civilist,Nike,SB-DUNK-15,sneakers,,NO,,2100000,9,nuevo,Nuevo con caja. Cambia de color con el sol. Con extra laces. Comisión incluida en el precio.,/products/SB-DUNK-15.png,NO,NO
Dunk SB Iso Orange Label Grey,Nike,SB-DUNK-16,sneakers,,NO,,1250000,"13,10.5",nuevo,Nuevo con caja. Comisión incluida en el precio.,/products/SB-DUNK-16.png,NO,NO
